,uid,iid,rating,ts
63288,908,998,3,876024224
16743,646,1569,3,891585981
5407,697,1547,5,879834591
13278,752,1022,3,884902589
12802,947,952,2,879811499
1399,849,1191,4,879892948
40638,827,1401,4,877925096
37360,357,1216,5,891816926
19522,688,1212,5,892066504
7911,863,1228,4,881801506
35066,705,1141,4,879886844
41703,858,1275,4,889008659
8413,674,1496,3,880243134
2405,855,950,4,885924054
45488,999,1544,4,875333726
84990,609,1604,3,877767341
3247,859,1165,5,884953365
66532,548,1186,3,875629520
68269,118,1103,4,880231276
25799,565,656,4,884500685
16074,747,1621,5,891996688
65900,58,1085,3,891651187
32696,467,1008,4,879560072
66134,502,1591,3,882323359
83663,119,1501,5,876906994
37527,637,1499,2,891863541
65506,581,1509,4,879803760
34667,551,717,2,880327501
23890,528,1289,4,876347283
36228,457,1514,3,877918830
79889,149,788,4,892329384
53942,601,1424,3,882878277
37339,601,159,3,882878277
27668,901,1579,3,886047431
7814,634,1253,5,889226160
44110,908,965,3,876024291
68750,234,1484,3,891678208
14927,595,265,1,885915905
5091,672,452,3,885415587
21799,516,1357,2,883771102
83912,85,1399,2,891398202
26840,747,1109,3,891996528
1802,943,875,1,884065931
37545,944,1658,4,893045103
21779,535,1204,3,883899416
76168,196,953,3,879813869
81797,735,1406,4,875688222
18390,574,1272,2,879812251
67837,721,1238,3,875678081
68210,990,1230,4,878259917
42016,602,1653,3,876106693
22165,571,1420,2,882755562
28231,658,1343,3,875352404
44992,394,1629,5,881291915
34448,561,1415,5,883261390
77469,205,287,3,883623157
68041,571,1466,4,882754736
33769,682,637,3,884864143
85426,457,1691,4,876750982
21430,704,1600,5,884564659
53851,613,1489,4,886848278
79858,768,1432,4,886307714
1870,988,1618,4,880327780
41418,513,1150,3,883899011
73716,384,805,3,891592814
72916,677,1602,4,879107869
56899,440,679,4,880343888
15275,978,1505,4,879255980
38104,550,256,4,882836409
51841,385,1272,5,879817281
42737,910,864,5,891753360
25951,732,1451,4,876110607
57018,558,1645,3,883758983
43184,575,1600,4,879107023
65842,476,1141,3,885005237
50117,930,1599,3,884518923
76652,130,1299,3,880952754
67884,146,781,4,883180576
45805,691,1442,5,877738458
39049,438,1611,1,879563989
33482,501,1161,1,885966997
47300,999,1533,2,878910553
11799,613,1320,2,886852268
27991,491,949,3,883958613
15488,637,1485,3,891864476
16161,826,1578,1,886802591
5457,721,1236,4,875678211
33387,441,1509,5,891402309
33568,668,1466,5,888728512
54903,648,1621,4,884657863
40167,461,1415,4,880156793
46095,568,1451,5,889784522
49300,226,1611,2,888925368
54349,266,1644,1,891390922
70521,455,1269,3,880267642
47372,356,1372,4,889444392
46664,706,446,3,889610831
5951,639,1552,1,879809494
13380,978,1342,5,879255613
58389,932,1691,4,877342243
67667,352,1492,5,885164822
14195,601,299,3,882710389
69653,160,1036,3,891572644
